t	θ	ω	α
471.000	0.775	20.03	-15.65
471.033	1.431	19.98	-13.62
471.067	2.107	19.38	-24.05
471.100	2.723	18.13	-25.62
471.133	3.315	17.71	-32.95
471.167	3.904	16.18	-47.20
471.200	4.394	14.22	-45.11
471.233	4.851	13.30	-41.28
471.267	5.280	11.60	-52.33
471.300	5.624	9.610	-48.48
471.333	5.921	8.413	-49.32
471.367	6.185	6.488	-58.93
471.400	6.354	4.257	-65.76
471.433	6.469	2.255	-61.94
471.467	6.504	4.066E-2	-62.03
471.500	6.472	-1.867	-59.67
471.533	6.380	-3.890	-58.59
471.567	6.212	-5.846	-54.56
471.600	5.990	-7.489	-53.49
471.633	5.713	-9.372	-51.88
471.667	5.365	-11.05	-49.34
471.700	4.976	-12.55	-53.24
471.733	4.528	-14.60	-43.29
471.767	4.003	-15.66	-35.65
471.800	3.484	-16.63	-35.04
471.833	2.894	-18.24	-32.57
471.867	2.268	-18.80	-16.53
471.900	1.641	-19.22	-21.33
471.933	0.987	-20.24	-13.47
471.967	0.292	-20.32	-4.494
472.000	-0.367	-20.23	-5.673
472.033	-1.057	-20.88	2.565
472.067	-1.759	-20.17	14.49
472.100	-2.402	-19.58	12.81
472.133	-3.065	-19.58	16.77
472.167	-3.707	-18.45	31.35
472.200	-4.295	-17.34	30.11
472.233	-4.863	-16.55	34.65
472.267	-5.398	-15.07	43.09
472.300	-5.867	-13.55	46.04
472.333	-6.301	-12.11	46.44
472.367	-6.675	-10.39	53.95
472.400	-6.994	-8.549	56.39
472.433	-7.245	-6.595	55.33
472.467	-7.433	-4.852	53.33
472.500	-7.568	-3.082	61.34
472.533	-7.639	-0.790	63.17
472.567	-7.621	1.265	55.83
472.600	-7.554	2.831	54.29
472.633	-7.432	4.850	57.97
472.667	-7.231	6.805	56.45
472.700	-6.979	8.529	54.08
472.733	-6.662	10.44	50.26
472.767	-6.283	11.94	48.96
472.800	-5.867	13.57	54.26
472.833	-5.378	15.64	37.28
472.867	-4.824	16.24	28.79
472.900	-4.296	17.12	31.01
472.933	-3.682	18.69	26.54
472.967	-3.050	18.81	16.05
473.000	-2.428	19.54	23.45
473.033	-1.747	20.63	10.39
473.067	-1.053	20.24	0.525
473.100	-0.397	20.37	5.546
473.133	0.305	20.92	-5.827
473.167	0.997	19.96	-20.55
473.200	1.636	19.31	-18.35
473.233	2.285	18.97	-24.88
473.267	2.900	17.61	-30.47
473.300	3.459	16.77	-31.08
473.333	4.018	15.80	-38.92
473.367	4.512	14.01	-46.24
473.400	4.952	12.69	-41.62
473.433	5.358	11.33	-48.96
473.467	5.707	9.406	-55.76
473.500	5.985	7.547	-57.87
473.533	6.210	5.631	-57.37
473.567	6.361	3.642	-58.96
473.600	6.453	1.756	-55.63
473.633	6.478	-0.110	-58.84
473.667	6.446	-2.102	-59.54
473.700	6.338	-4.153	-57.35
473.733	6.169	-5.903	-50.46
473.767	5.944	-7.516	-55.13
473.800	5.668	-9.506	-54.65
473.833	5.310	-11.31	-52.56
473.867	4.914	-12.87	-47.36
473.900	4.453	-14.56	-43.73
473.933	3.943	-15.78	-34.90
473.967	3.401	-16.84	-31.58
474.000	2.820	-17.90	-29.22
474.033	2.207	-18.80	-21.75
474.067	1.567	-19.37	-23.94
474.100	0.916	-20.28	-22.26
474.133	0.215	-21.03	-1.129
474.167	-0.487	-20.36	11.72
474.200	-1.142	-20.00	6.123
474.233	-1.820	-20.17	12.78
474.267	-2.487	-19.17	19.40
474.300	-3.098	-18.63	16.12
474.333	-3.728	-18.37	25.43
474.367	-4.323	-16.87	35.31
474.400	-4.853	-15.83	38.49
474.433	-5.378	-14.59	43.27
474.467	-5.826	-12.73	47.23
474.500	-6.227	-11.48	39.97
474.533	-6.591	-10.12	46.33
474.567	-6.902	-8.372	53.93
474.600	-7.150	-6.510	57.62
474.633	-7.336	-4.547	60.47
474.667	-7.453	-2.464	63.58
474.700	-7.500	-0.315	60.54
474.733	-7.474	1.618	60.27
474.767	-7.392	3.617	58.54
474.800	-7.233	5.617	54.25
474.833	-7.018	7.198	47.83
474.867	-6.753	8.781	52.88
474.900	-6.432	10.70	53.78
474.933	-6.039	12.46	44.48
474.967	-5.602	13.63	49.26
475.000	-5.131	15.58	45.20
475.033	-4.563	17.00	30.26
475.067	-3.998	17.33	23.02
475.100	-3.408	18.52	25.17
475.133	-2.763	19.21	17.01
475.167	-2.127	19.45	17.02
475.200	-1.466	20.39	17.00
475.233	-0.768	20.72	-3.060
475.267	-8.492E-2	20.09	-6.673
475.300	0.572	20.14	-6.001
475.333	1.257	19.96	-16.89
475.367	1.902	18.85	-21.39
475.400	2.514	18.46	-20.26
475.433	3.133	17.72	-27.42
475.467	3.695	16.43	-34.95
475.500	4.229	15.47	-40.41
475.533	4.727	13.81	-54.95
475.567	5.149	11.70	-48.68
475.600	5.506	10.48	-44.67
475.633	5.848	8.975	-54.21
475.667	6.105	6.681	-54.59
475.700	6.293	5.278	-50.52
475.733	6.457	3.545	-53.19
475.767	6.530	1.498	-64.70
475.800	6.556	-0.575	-64.05
475.833	6.491	-2.929	-64.90
475.867	6.361	-4.848	-53.61
475.900	6.168	-6.529	-49.72
475.933	5.926	-8.116	-52.86
475.967	5.627	-10.04	-57.97
476.000	5.257	-12.03	-49.37
476.033	4.825	-13.38	-38.72
476.067	4.365	-14.50	-45.42
476.100	3.858	-16.38	-41.49
476.133	3.273	-17.51	-31.07
476.167	2.690	-18.17	-30.17
476.200	2.061	-19.62	-20.32
476.233	1.382	-19.73	-4.718
476.267	0.746	-19.58	-12.10
476.300	7.718E-2	-20.68	-7.518
476.333	-0.633	-20.32	6.141
476.367	-1.278	-19.84	4.965
476.400	-1.955	-20.28	10.13
476.433	-2.629	-19.22	28.49
476.467	-3.237	-18.11	21.68
476.500	-3.837	-17.91	21.14
476.533	-4.430	-16.83	35.67
476.567	-4.959	-15.34	35.42
476.600	-5.453	-14.50	40.34
476.633	-5.925	-12.82	47.37
476.667	-6.307	-11.06	47.90
476.700	-6.663	-9.828	49.13
476.733	-6.963	-7.779	60.33
476.767	-7.181	-5.700	58.67
476.800	-7.343	-3.926	55.68
476.833	-7.443	-1.995	58.71
476.867	-7.476	7.389E-3	59.59
476.900	-7.443	1.973	57.53
476.933	-7.344	3.854	55.83
476.967	-7.186	5.679	57.38
477.000	-6.966	7.664	53.58
477.033	-6.675	9.334	50.48
477.067	-6.343	10.92	54.28
477.100	-5.947	12.99	49.01
477.133	-5.478	14.32	40.36
477.167	-4.992	15.46	38.90
477.200	-4.447	17.04	35.00
477.233	-3.856	17.84	27.17
477.267	-3.257	18.68	27.92
477.300	-2.610	19.84	14.85
477.333	-1.935	19.76	2.116
477.367	-1.293	19.71	7.238
477.400	-0.621	20.41	2.757
477.433	6.767E-2	20.00	-11.36
477.467	0.712	19.41	-5.666
477.500	1.362	19.71	-10.69
477.533	2.026	18.90	-21.55
477.567	2.622	17.94	-24.34
